Model,Pollutant,MSE,MAE,RMSE,R-squared,MAPE,MBD,sMAPE
CNN,PM2.5,0.005501680016476141,0.061087600676919554,0.07417331067490611,0.2392118399833747,inf,0.04545193672385011,56.44263003065956
CNN,PM10,0.015991645196708912,0.0959011417830687,0.1264580768346131,0.05715738159395034,36.541640662142264,-0.045033299367130346,37.6456852216279
CNN,SO2,0.03728749532460684,0.15224275082700287,0.19309970306711205,0.7638560363862799,113.70709001673929,-0.10300853887223813,50.52403492984728
CNN,CO,0.01036322606526264,0.08115139378774348,0.10179993155824144,0.6064153011567441,inf,-0.05361673799321661,47.98946634857099
CNN,O3,0.0594163461503149,0.20480609933110328,0.24375468436589048,0.6281325525484384,143.07174387093187,-0.13098043255992858,53.25163888675774
CNN,NO2,0.006885674080141284,0.06861284488628644,0.08297996191937716,-1.1474203398697722,inf,0.052924886572235985,72.06828714245226
CNN_Attention,PM2.5,0.004810285570587034,0.05298947120019507,0.06935622229178168,0.33481985549108084,inf,0.019861511254523907,52.3462211349545
CNN_Attention,PM10,0.01595681931261368,0.09374899009182293,0.12632030443524778,0.059210661750229265,36.488941317284336,-0.03178126141037157,35.41603501944337
CNN_Attention,SO2,0.06992750110060679,0.21353383044080496,0.264438085571286,0.5571449052357562,166.81273631551986,-0.14771452721997544,60.98062311406669
CNN_Attention,CO,0.008886359907921734,0.07859419174563037,0.0942674912571759,0.662505163339451,inf,0.04064146604031271,36.777559669773154
CNN_Attention,O3,0.05749462337649428,0.20337472050162939,0.23978036486854856,0.6401599858881174,175.96146752416695,-0.10545525176883783,52.03491252175208
CNN_Attention,NO2,0.004778541077525811,0.056292119155824334,0.06912699239461971,-0.49027331025978427,inf,-0.032206166464463705,108.59156729760042
RNN,PM2.5,0.0053177477300648856,0.05922034271797484,0.07292288893115031,0.26464652635688324,inf,0.04540841672705361,54.80287492708092
RNN,PM10,0.011402036525009127,0.08156589659795568,0.10678031899656944,0.3277535963208187,36.630371987426294,0.019014385905309416,30.645438435650803
RNN,SO2,0.01929181341198746,0.0995607008463996,0.13889497259435798,0.8778237785953761,111.03815891610667,-0.040425166038892894,40.43623981585327
RNN,CO,0.009515186588020834,0.07544440861006153,0.09754581789098307,0.6386229708684199,inf,-0.050875941100657796,42.38725283201012
RNN,O3,0.08941774567513937,0.24725582569833562,0.2990280014900601,0.44036362052682776,128.83170248884798,-0.1869116082006438,59.26724774175785
RNN,NO2,0.0023609214795239086,0.0383474098711607,0.04858931445826241,0.26370450489561204,inf,0.011433565404913769,59.094029868263284
RNN_Attention,PM2.5,0.002940858887424388,0.043300257826898794,0.05422968640352245,0.5933295620370904,inf,0.02454972955516863,46.616482079183854
RNN_Attention,PM10,0.010904559254464175,0.07602903167253021,0.10442489767514343,0.35708408524728796,29.936076700626153,-0.020822396418645975,28.289646083270643
RNN_Attention,SO2,0.01490560770899846,0.07159650463411703,0.12208852406757345,0.9056018846577962,81.11428343022921,-0.02211706206612288,35.44820795013093
RNN_Attention,CO,0.006335192429626478,0.06290964011425365,0.0795939220646054,0.7593958880346572,inf,-0.0019826023544045304,31.403334808809547
RNN_Attention,O3,0.023460396159077305,0.09240860148390367,0.15316786921243405,0.8531690653981377,115.63403230924362,-0.011738267744807906,35.85057032426074
RNN_Attention,NO2,0.001108929279590692,0.024446122790727488,0.03330058977842122,0.6541606148135719,inf,-0.007344525934756629,44.995121811444854
GRU,PM2.5,0.002901942649975072,0.04177574674512784,0.053869682103898406,0.5987110114480285,inf,0.015232987988684455,45.69279920645475
GRU,PM10,0.010259552354765665,0.07695895449820728,0.10128944838810044,0.39511269248069936,33.68267508887728,0.01223011745738708,28.31387788702137
GRU,SO2,0.022656633324390982,0.11518507534123411,0.15052120556383736,0.8565141705339041,107.322242632121,-0.06482473672846403,42.84256997561383
GRU,CO,0.006049222109624565,0.06091828040180123,0.07777674530105104,0.7702567475360571,inf,0.003814582287171946,30.044766148343843
GRU,O3,0.03305367280988638,0.14835730981614365,0.18180669077315714,0.7931278893250088,118.1378913768354,-0.08458189272651452,42.92348666171824
GRU,NO2,0.0015419326014702761,0.032083781433901275,0.039267449643060295,0.5191208017447084,inf,-0.01540271923402062,69.88446608658926
GRU_Attention,PM2.5,0.0029898727654164713,0.04229442554933837,0.054679729017401604,0.5865517818061055,inf,0.019250500108680506,45.09553774935048
GRU_Attention,PM10,0.010875757509433715,0.0745044188025761,0.10428689998956588,0.3587821914999686,28.158187076742795,-0.028429899436677487,27.620616555253132
GRU_Attention,SO2,0.017068503252960204,0.09341332767569842,0.13064648197697556,0.8919041363325951,116.32126886523903,-0.033739593983414,41.72930553702108
GRU_Attention,CO,0.0058944370658079795,0.060125094462616865,0.07677523732173011,0.7761353247737183,inf,-0.0004086005964935723,29.599793289749588
GRU_Attention,O3,0.02496711418524884,0.1196216409643193,0.15800985470928336,0.8437390108302553,126.41486082470574,-0.045160442241832514,40.17933852862138
GRU_Attention,NO2,0.001069052325736433,0.024303847157421572,0.032696365634982016,0.6665969544953546,inf,0.00822170554980277,36.902992663010984
LSTM,PM2.5,0.005879895931926032,0.06288753399481829,0.07668047947115375,0.18691105376127326,inf,0.05095365770055546,56.28631962264068
LSTM,PM10,0.012041045386162576,0.08444060278882029,0.10973169727185748,0.29007862414481156,38.296350798349316,0.027841295250642634,30.54843193450239
LSTM,SO2,0.03767346397773796,0.15546230987073764,0.19409653262677815,0.7614116735566616,136.70022808387367,-0.10175651427388745,50.29212400443618
LSTM,CO,0.006011861035056999,0.06159719131830915,0.07753619177556374,0.7716756828356957,inf,0.015265745961290288,30.038929009209447
LSTM,O3,0.025294982534823852,0.12136702848706475,0.15904396415715955,0.8416869902306012,106.90786588287263,-0.0590817729333892,37.62032452539166
LSTM,NO2,0.0011995039492103245,0.025470964369886835,0.034633855534871145,0.62591328774662,inf,0.010507813799290748,40.27316439466212
LSTM_Attention,PM2.5,0.00400858363330689,0.050505496070240304,0.0633133764168907,0.44568150864403644,inf,0.03349855091403424,49.97137880194126
LSTM_Attention,PM10,0.010149278951638944,0.07506254578875768,0.10074362983156276,0.401614241437397,31.0240707125515,-0.005427159544439771,27.720464439831424
LSTM_Attention,SO2,0.02626367442738284,0.12776072145232278,0.1620607121648638,0.8336705610191617,129.9195474356233,-0.0719336542055563,46.56474448638197
LSTM_Attention,CO,0.009015167914751284,0.0787558620062287,0.09494823808134242,0.6576131673280408,inf,0.04850795777639804,36.653757456059594
LSTM_Attention,O3,0.033359736781890546,0.14707116661705621,0.18264648034356026,0.7912123351820775,106.46543362770528,-0.08581410058275904,41.66031244414542
LSTM_Attention,NO2,0.0015858387632292903,0.029951731442536652,0.039822591116466674,0.5054278816747848,inf,0.019757161242465734,41.38993208732165
SARIMA,PM2.5,137.96555649764483,10.536173663280433,11.745874020167458,-19077.27455598592,inf,10.536173663280433,195.92538807508737
