Waktu;PM10;PM2.5;SO2;CO;O3;NO2
01/01/2021;12,98;12,46;0,21;2058,29;0,17;1,00
02/01/2021;6,15;5,75;0,50;1661,60;0,42;
03/01/2021;11,85;11,79;1,00;1940,48;0,00;3,00
04/01/2021;6,88;10,02;0,13;1707,60;0,00;
05/01/2021;10,60;16,21;0,13;1816,92;22,81;1,00
06/01/2021;25,25;25,52;0,60;2132,90;64,77;
07/01/2021;21,13;20,44;1,02;2335,88;11,96;
08/01/2021;18,33;19,19;1,92;2160,25;0,00;1,00
09/01/2021;13,44;13,75;0,35;1766,90;0,00;
10/01/2021;7,06;6,79;0,71;1921,06;0,00;
11/01/2021;11,06;10,71;2,98;2190,56;0,00;
12/01/2021;8,10;7,81;12,58;1960,43;10,54;3,68
13/01/2021;5,56;5,15;21,29;1547,19;62,38;4,00
14/01/2021;8,27;8,35;21,46;1813,35;84,15;4,52
15/01/2021;17,81;19,27;24,17;2055,44;65,35;5,17
16/01/2021;13,08;14,58;20,67;1672,29;89,67;5,13
17/01/2021;21,85;23,77;27,48;2160,98;44,52;5,81
18/01/2021;13,54;13,71;28,69;1805,29;29,60;7,10
19/01/2021;21,56;24,21;25,50;2036,42;110,35;7,33
20/01/2021;24,77;25,15;25,08;2128,25;61,33;7,52
21/01/2021;18,46;19,56;24,63;2215,63;93,31;7,40
22/01/2021;16,00;17,69;22,79;1937,38;105,56;7,11
23/01/2021;32,44;33,94;24,21;2200,65;119,96;9,02
24/01/2021;33,83;37,96;24,63;2029,79;68,67;8,73
25/01/2021;31,25;36,27;22,17;1984,85;62,92;7,50
26/01/2021;18,90;22,38;21,65;1782,13;91,67;5,85
27/01/2021;6,46;7,13;20,63;1683,96;98,00;4,56
28/01/2021;5,17;5,33;18,88;1727,85;89,58;4,25
29/01/2021;18,21;22,96;22,06;2469,60;98,17;6,60
30/01/2021;25,98;32,56;23,13;2460,52;127,15;8,73
31/01/2021;21,40;24,52;19,29;1886,67;92,38;8,58
01/02/2021;19,15;23,27;20,02;2118,35;99,31;10,63
02/02/2021;20,04;28,40;19,27;1910,38;88,23;11,75
03/02/2021;19,63;25,81;21,90;1968,15;66,13;7,81
04/02/2021;16,13;21,19;20,83;2000,46;55,96;6,58
05/02/2021;17,33;23,42;20,90;1942,69;82,67;8,38
06/02/2021;26,04;32,98;21,77;1872,90;66,83;8,83
07/02/2021;18,77;22,06;20,60;1844,79;61,00;7,08
08/02/2021;14,92;18,40;25,27;2191,79;33,67;6,48
09/02/2021;22,31;29,92;21,02;1856,60;30,73;6,52
10/02/2021;8,33;11,71;26,25;2641,02;46,67;6,44
11/02/2021;12,73;15,58;26,29;2218,88;61,15;4,38
12/02/2021;8,56;9,13;19,56;1508,02;89,98;3,33
13/02/2021;9,60;11,44;19,77;1714,42;91,88;4,83
14/02/2021;20,58;24,85;22,02;2029,35;89,46;6,40
15/02/2021;24,65;31,27;22,19;2003,88;68,00;7,13
16/02/2021;25,92;34,17;23,42;2151,96;46,54;6,04
17/02/2021;27,83;34,50;22,17;2041,65;86,27;3,73
18/02/2021;11,60;12,98;23,46;2224,85;121,04;3,35
19/02/2021;21,15;24,13;24,63;2721,69;124,94;5,85
20/02/2021;29,54;38,08;20,83;2062,75;148,19;5,96
21/02/2021;25,35;28,81;19,54;1834,04;134,23;8,02
22/02/2021;24,10;27,90;23,31;2010,79;102,85;6,13
23/02/2021;16,02;18,31;17,92;1797,10;105,69;4,00
24/02/2021;11,85;12,52;19,08;1931,69;149,25;5,31
25/02/2021;24,44;26,00;21,75;961,40;68,31;5,46
26/02/2021;20,31;17,92;27,35;697,20;23,40;7,42
27/02/2021;14,83;17,52;21,27;957,90;92,60;8,63
28/02/2021;12,10;14,04;19,35;1139,98;83,92;9,52
01/03/2021;20,88;24,21;24,96;1321,56;49,04;7,21
02/03/2021;40,88;48,48;22,77;1161,35;24,60;6,56
03/03/2021;21,17;22,56;19,71;1216,46;55,77;9,58
