Waktu;PM10;PM2.5;SO2;CO;O3;NO2;HC
01/01/2023;29.31;32.6;20.58;1648.42;25.09;62.35;14.92
02/01/2023;15.69;17.73;9.94;904.85;19.06;57.44;7.06
03/01/2023;6.13;7.23;8.81;692.76;26.67;56.38;3.43
04/01/2023;9;10.56;11.4;981.17;34.13;58.13;6.93
05/01/2023;7.54;8.73;9.46;883.25;41.69;60.23;6.77
06/01/2023;5.79;6.88;9.08;761.65;44.08;59.52;5.88
07/01/2023;8.56;9.71;14.1;1180.88;42.73;58.69;8.02
08/01/2023;5.46;6.35;10.19;753.6;47.44;57.73;6.08
09/01/2023;10.75;11.98;14.27;1205.19;46.46;58.48;7.9
10/01/2023;11.73;13.29;16.21;1362.29;45.52;58.65;8.81
11/01/2023;10.46;11.88;17.44;1407.64;44.48;58.1;9.83
12/01/2023;12.96;14.52;17.27;1399.6;44.67;58.23;9.29
13/01/2023;12.77;14.56;14.58;1160;47.69;58.04;7.06
14/01/2023;10.88;12.67;9.27;667.17;56.38;58.88;4.65
15/01/2023;10.42;12.02;8.29;568.6;58.69;58.21;4.19
16/01/2023;18.69;20.9;9.38;1210.29;31.04;57.79;7.98
17/01/2023;15.31;17.17;15.27;1583.75;42.98;58.31;9.33
18/01/2023;15.6;17.79;13.71;1265.44;48.4;58.63;7.39
19/01/2023;19.83;22.46;15.29;1343.83;47.1;59.21;8.42
20/01/2023;14.17;16.17;16.29;1520.83;46.31;60.81;9.52
21/01/2023;11.5;13.21;11.5;1106.38;51.42;61.5;6.58
22/01/2023;9.94;11.15;10.69;997.81;49.73;59.44;5.77
23/01/2023;8.02;9.23;10.79;828.79;56.46;59.29;5.66
24/01/2023;15.44;17.15;14.32;1253.21;58.33;61.13;5.94
25/01/2023;8.13;9.17;4.73;572.44;35.98;58.6;4.17
26/01/2023;7.34;8.61;13.13;1232.63;21.58;58.21;7.74
27/01/2023;10.35;11.73;14.92;1427.33;42.92;61.31;8.98
28/01/2023;26.71;29.48;13.04;1428.9;42.25;61.96;7.85
29/01/2023;18.81;20.96;15.44;1645.25;37.56;61.33;9.23
30/01/2023;29.17;31.94;22.25;2026.29;44.77;63.23;12.21
31/01/2023;9.23;10.58;14.21;1274.88;34.63;58.54;7.79
01/02/2023;10.56;12.1;12.98;1248.25;33.27;58.56;7.42
02/02/2023;18.75;20.79;11.29;1535.46;47.42;62.69;6
03/02/2023;21.52;23.79;15.67;1509.23;55.9;64.92;10.4
04/02/2023;21.25;23.54;18.25;1817.1;51.17;64.35;10.92
05/02/2023;17.48;19.69;13.73;1427.6;53.35;62.31;8.79
06/02/2023;14.69;16.83;7.48;969.15;33.77;59.67;5.53
07/02/2023;12.71;14.71;10.35;1247.67;46.08;64.56;6.02
08/02/2023;19.08;20.69;8.42;1179.25;53.67;66.04;6.33
09/02/2023;14.44;16.52;12.31;1545.4;27.67;61.75;8.04
10/02/2023;12.42;13.88;8.54;1306.15;43.58;63.71;5.43
11/02/2023;14.81;16.85;12.22;1401.48;47.83;65.54;9.23
12/02/2023;19.9;22;8.1;1141.44;30.31;60.98;7.21
13/02/2023;9.17;10.58;11.04;1301.52;22.25;60.27;8.26
14/02/2023;5.79;6.79;10.94;1045.08;38.9;61.5;6.67
15/02/2023;5.04;5.94;11.21;991.65;37.17;60.46;7.77
16/02/2023;7.46;8.88;16.46;1636.21;34.52;61.71;10.96
17/02/2023;13.4;15;12.55;1725.1;36.29;61.69;9.48
18/02/2023;10.21;11.71;10.71;1248.73;40.08;59.19;6.71
19/02/2023;11.35;12.75;8.71;931.9;46.48;58.79;5.17
20/02/2023;10.94;12.5;5.94;728.5;20.81;56.63;5.7
21/02/2023;16.38;18.35;18.75;1693.08;40.35;61.08;9.63
22/02/2023;17.22;19.27;15.67;1600.4;38.91;63.16;10.2
23/02/2023;28.9;31.69;23.35;2296.29;38.33;69.1;14.32
