Model,Pollutant,MSE,MAE,RMSE,R-squared,MAPE,MBD,sMAPE
CNN,PM2.5,0.004915808040984507,0.058383758291505515,0.07011282365576577,0.3202279043318561,inf,0.042061598029449296,55.566584694321875
CNN,PM10,0.011837608468806594,0.0832447644076826,0.10880077421051099,0.30207294952415675,38.105281038648755,0.006112121353049528,30.881782884060087
CNN,SO2,0.054659960741399505,0.18556616110594334,0.23379469784706305,0.6538351619470029,123.17120817786954,-0.13521402053220408,53.96661402907251
CNN,CO,0.006569057071746701,0.06412874935730972,0.08104971975119162,0.7505139487467062,inf,-0.0038658090537239905,30.76139043680159
CNN,O3,0.07428055681351414,0.23121735236396834,0.2725445960086425,0.5351023270996644,161.11058827623876,-0.14324994940623162,57.936613079702404
CNN,NO2,0.004768336876473045,0.05669105745355009,0.06905314530470748,-0.487090948062882,inf,0.028315605468522898,73.95032760389421
CNN_Attention,PM2.5,0.005682189510099674,0.06417986253242357,0.0753802992173663,0.2142504672557508,inf,0.04876064163147657,58.83710085334383
CNN_Attention,PM10,0.013508136466283916,0.08822033201468574,0.1162245088881167,0.203581207624688,39.382395923760065,0.009542077328374548,32.371345578551754
CNN_Attention,SO2,0.050592943803254645,0.18128583426744893,0.22492875272684604,0.6795918262522043,156.84161840496304,-0.11553100277458632,55.16260867378929
CNN_Attention,CO,0.008572806427828185,0.07233267122939246,0.09258945095327105,0.6744136029755932,inf,-0.032946293305871094,38.59762568247509
CNN_Attention,O3,0.047166599741219555,0.1805524687228211,0.21717872764435184,0.7047997026548249,167.11030658348162,-0.0846045249688674,48.579531361283266
CNN_Attention,NO2,0.0016015998586041444,0.029962446863128316,0.04001999323593326,0.5005125028182394,inf,0.005182029647089542,48.55241680893449
RNN,PM2.5,0.009054032745644687,0.07829200672499888,0.09515268123203195,-0.25201772779603226,inf,0.06924613134691919,62.431993447899174
RNN,PM10,0.010786091598792295,0.07675319165869456,0.10385611006961648,0.3640687546353437,30.99951148837501,-0.01657939630134293,28.57455685419977
RNN,SO2,0.023372703024682123,0.11499203008121033,0.15288133641711182,0.8519792578030174,105.89694000682132,-0.05955073397990525,41.81835788476671
RNN,CO,0.010512303932524027,0.08140633447451509,0.10252952712523367,0.6007534766321452,inf,-0.03869920673335853,55.555194284648046
RNN,O3,0.042057549381788975,0.1695837624931679,0.20507937336989543,0.7367755752750713,119.55931206551429,-0.10670553303696495,50.711119107208226
RNN,NO2,0.004099042250234554,0.052270126890846064,0.06402376316833114,-0.27835947500417135,inf,0.03179967444804932,65.22901708815753
RNN_Attention,PM2.5,0.0034573092346446882,0.047536714632920515,0.05879888803918564,0.5219133204118022,inf,0.030392410628200396,48.54830163200048
RNN_Attention,PM10,0.009979829078478167,0.07619485125731272,0.0998990944827738,0.4116047433610114,33.59219340952851,0.009674100029854318,28.032127862407513
RNN_Attention,SO2,0.016290477232954927,0.08432660268181168,0.12763415386547178,0.8968314221843056,87.01306595156014,-0.03460366531512528,37.440209452621204
RNN_Attention,CO,0.00880595801976766,0.07260781224648538,0.0938400661752093,0.6655587446022997,inf,-0.04192103800273105,47.080502716988356
RNN_Attention,O3,0.026768462870396508,0.12245625345998905,0.16361070524387,0.8324649594804561,99.74650054930194,-0.05590804049316039,37.33319952547984
