Model,Pollutant,MSE,MAE,RMSE,R-squared,MAPE,MBD,sMAPE
CNN,PM2.5,0.001373263111129339,0.029376738409876403,0.03705756482999577,0.9334310064095468,5.246670461926404,-0.01435437011090333,5.385087340714867
CNN,PM10,0.0009168028545183536,0.022817148074412392,0.030278752525795274,0.9567484832433754,6.389785176211977,0.004329948473586745,6.205093519420396
CNN,SO2,0.0025589164729949267,0.0347073327511209,0.050585733888072894,0.8712182451058169,10.503749147007763,-0.00026625229979519694,10.239572401144224
CNN,CO,0.002251700354294231,0.03715073279246325,0.04745208482558201,0.7783951340067973,inf,0.005469940983209661,22.737881138094867
CNN,O3,0.005105783127390449,0.053090518420035884,0.07145476280410179,0.9516904308166626,15.195706869663184,0.04908610506120323,12.994979477233398
CNN,NO2,0.002480498492785151,0.03616265715586383,0.0498046031284775,0.7171575385937192,inf,0.003026394426025699,64.91784390223626
CNN_Attention,PM2.5,0.004380332503193394,0.054923139514904885,0.06618408043626045,0.7876631768770557,9.540620455305703,-0.04824806918754162,10.223739675933968
CNN_Attention,PM10,0.002276699931827685,0.03662608581374704,0.04771477687077332,0.8925933478872257,10.83381281438694,0.010696921187804487,10.27889988874867
CNN_Attention,SO2,0.005765431187107843,0.04972876996927034,0.07593043650017985,0.7098450247075051,13.345334885583323,-0.03065350998431779,13.907255599688884
CNN_Attention,CO,0.002423732693176469,0.038701222057967145,0.049231419776159906,0.7614642829138485,inf,-0.0193362145480544,29.944350794382498
CNN_Attention,O3,0.0060312355229411845,0.05665682033816382,0.07766102962838688,0.9429340450843933,14.821728724319557,0.04801497578897004,12.542394455407065
CNN_Attention,NO2,0.0020896594654575646,0.028833454706479078,0.04571279323622179,0.7617235291897659,inf,-0.01377039221092244,60.997798967217946
RNN,PM2.5,0.0012597453205303612,0.029321238095702015,0.03549289112668002,0.9389337866222704,4.894352888355192,-0.025402302972359552,5.0364918297641115
RNN,PM10,0.0006604828978194014,0.019997646162377734,0.025699861824908736,0.9688407524238049,5.404411079557094,-0.004198177457491184,5.387709575848421
RNN,SO2,0.0022041290031540573,0.03270214907923115,0.0469481522869011,0.8890735184071369,10.03135596530192,0.0007216594361024366,9.777555818689672
RNN,CO,0.0017383701204358433,0.03417876849312391,0.0416937659660991,0.8289153897182208,inf,-0.01786183500358833,23.288709526487736
RNN,O3,0.002955242020436204,0.04219031522584469,0.05436213774711406,0.9720382818310702,11.51674845045179,0.040764038948072866,10.03053066498492
RNN,NO2,0.004770623944969543,0.06010780563179533,0.06906970352455223,0.4560226410281476,inf,-0.05801745628317197,80.75943827414558
RNN_Attention,PM2.5,0.000938880886888559,0.02436696546120883,0.030641163275707387,0.9544877050617891,4.258408910873025,-0.014057690215587733,4.3539949707915095
RNN_Attention,PM10,0.0008400538898879031,0.022059709183188635,0.028983683166359363,0.9603692280015398,6.298912923284311,-8.407015917394345e-05,6.1575101945282515
RNN_Attention,SO2,0.002177536562272876,0.029832288577066806,0.046664082143259566,0.8904118275077815,9.00232152386271,-0.005008293641199614,9.022404731860625
RNN_Attention,CO,0.0028180608186185382,0.0463623930330667,0.05308541060045159,0.7226558192435879,inf,-0.03636247312499376,32.42759945084227
RNN_Attention,O3,0.0023776509516429656,0.03241537333807873,0.04876116232867061,0.9775032957185297,8.818488742643014,0.02837980920530388,7.615056678747932
RNN_Attention,NO2,0.0015912320296218568,0.021065053377133703,0.039890249806460935,0.8185574451120052,inf,-0.010072486396341488,59.09832221645449
GRU,PM2.5,0.0006841441082310725,0.020606039596497337,0.02615614857411298,0.9668360823306997,3.608716059287077,-0.01344917683364396,3.684296348182899
GRU,PM10,0.0006915268458545062,0.01931871218023017,0.02629689802722949,0.9673762087304527,5.799363308057756,0.011684751412126337,5.518892462036837
GRU,SO2,0.00168392680989422,0.03120049772108724,0.0410356772808031,0.9152535645535426,10.540687310592013,0.01375374173756965,10.004197103908657
GRU,CO,0.0009628791613617217,0.021276587831077384,0.031030294251935826,0.9052366327898488,inf,-0.0035835191862070917,19.030308014987288
GRU,O3,0.0016978667092574602,0.027526220796621197,0.0412051781849983,0.9839352343786524,7.433712634360035,0.022551133488633288,6.565509864607254
GRU,NO2,0.0018085078209688827,0.022636282276269525,0.04252655430397439,0.7937822558476942,inf,-0.015223937864364389,60.67316907095736
GRU_Attention,PM2.5,0.0009604595684826871,0.02448369893867955,0.030991282136799168,0.9534416774614783,4.368243084893454,-0.01865449672220014,4.519176399683456
GRU_Attention,PM10,0.0011106791109163397,0.024645382725099498,0.03332685270043272,0.947602087035093,7.145719698833671,0.0022362852846381847,6.911158547700868
GRU_Attention,SO2,0.0035392413686149006,0.03745101922117269,0.05949152350221753,0.8218817537600724,9.888913151584635,-0.0289259774445231,10.527499885267027
GRU_Attention,CO,0.0033846147961907537,0.04790363473819901,0.05817744233111966,0.6668974595496049,inf,-0.04404618103698756,36.46205864218052
